2018-08-20 14:14:22 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=4.999 seconds}
2018-08-20 14:14:22 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:14:22 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:14:22 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1368880 bytes}
2018-08-20 14:14:28 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.22 seconds}
2018-08-20 14:14:28 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:14:28 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.031 seconds}
2018-08-20 14:14:28 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:14:33 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.172 seconds}
2018-08-20 14:14:33 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:14:33 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:14:33 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:14:38 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=5.301 seconds}
2018-08-20 14:14:38 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=aTest, result=800016 bytes}
2018-08-20 14:14:38 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:14:38 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=800016 bytes}
2018-08-20 14:14:38 - MetricResult{metricName=PerformanceMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=0.032 seconds}
2018-08-20 14:14:38 - MetricResult{metricName=MemoryMetricsGenerator, selector=ABTestSelectRandom, userClass=SortingExperiment, userMethod=bTest, result=1303328 bytes}
